S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,2015,2016,2017,2018,2019,2020,2021
1,New South Wales,1RNSW,Rest of NSW,109,Murray,3023.0,3012.0,2990.0,2967.0,2941.0,2916.0,2896.0
1,New South Wales,1RNSW,Rest of NSW,109,Murray,6049.0,6087.0,6174.0,6270.0,6353.0,6446.0,6540.0
1,New South Wales,1RNSW,Rest of NSW,109,Murray,3708.0,3684.0,3693.0,3697.0,3688.0,3676.0,3651.0
1,New South Wales,1RNSW,Rest of NSW,109,Murray,5597.0,5539.0,5552.0,5558.0,5560.0,5565.0,5568.0
1,New South Wales,1RNSW,Rest of NSW,109,Murray,6817.0,6845.0,6895.0,6937.0,7004.0,7100.0,7220.0
1,New South Wales,1RNSW,Rest of NSW,109,Murray,7549.0,7556.0,7427.0,7327.0,7226.0,7110.0,7015.0
1,New South Wales,1RNSW,Rest of NSW,109,Murray,6866.0,6838.0,6823.0,6818.0,6807.0,6808.0,6814.0
1,New South Wales,1RNSW,Rest of NSW,109,Murray,5849.0,5960.0,6130.0,6303.0,6464.0,6666.0,6891.0
1,New South Wales,1RNSW,Rest of NSW,109,Murray,9851.0,9902.0,9921.0,9925.0,9903.0,9850.0,9796.0
1,New South Wales,1RNSW,Rest of NSW,110,New England and North West,23979.0,24114.0,24286.0,24414.0,24479.0,24370.0,24171.0
1,New South Wales,1RNSW,Rest of NSW,110,New England and North West,4543.0,4558.0,4557.0,4546.0,4543.0,4540.0,4534.0
1,New South Wales,1RNSW,Rest of NSW,110,New England and North West,6153.0,6120.0,6091.0,6051.0,6027.0,5973.0,5916.0
1,New South Wales,1RNSW,Rest of NSW,110,New England and North West,3268.0,3268.0,3251.0,3225.0,3207.0,3176.0,3145.0
1,New South Wales,1RNSW,Rest of NSW,110,New England and North West,8926.0,8934.0,8932.0,8931.0,8933.0,8929.0,8922.0
1,New South Wales,1RNSW,Rest of NSW,110,New England and North West,11870.0,11900.0,11961.0,12022.0,12073.0,12109.0,12103.0
1,New South Wales,1RNSW,Rest of NSW,110,New England and North West,5365.0,5340.0,5321.0,5300.0,5286.0,5253.0,5229.0
1,New South Wales,1RNSW,Rest of NSW,110,New England and North West,5998.0,6057.0,6006.0,5973.0,5936.0,5828.0,5720.0
1,New South Wales,1RNSW,Rest of NSW,110,New England and North West,6713.0,6697.0,6725.0,6760.0,6784.0,6766.0,6798.0
1,New South Wales,1RNSW,Rest of NSW,110,New England and North West,8570.0,8509.0,8371.0,8251.0,8135.0,8004.0,7993.0
1,New South Wales,1RNSW,Rest of NSW,110,New England and North West,5687.0,5637.0,5609.0,5573.0,5534.0,5481.0,5420.0
1,New South Wales,1RNSW,Rest of NSW,110,New England and North West,7318.0,7320.0,7274.0,7216.0,7139.0,7059.0,6965.0
